Indicator,Group,State,Subgroup,Time Period Label,Time Period End Date,Value
"Did Not Get Needed Care, Last 4 Weeks",By State,Virginia,Virginia,May 7 - May 12,05/12/2020,38.6
"Did Not Get Needed Care, Last 4 Weeks",By State,Washington,Washington,May 7 - May 12,05/12/2020,35.4
"Did Not Get Needed Care, Last 4 Weeks",By State,West Virginia,West Virginia,May 7 - May 12,05/12/2020,34
"Did Not Get Needed Care, Last 4 Weeks",By State,Wisconsin,Wisconsin,May 7 - May 12,05/12/2020,33
"Did Not Get Needed Care, Last 4 Weeks",By State,Wyoming,Wyoming,May 7 - May 12,05/12/2020,32
"Delayed Medical Care, Last 4 Weeks",By Age,United States,18 - 29 years,May 14 - May 19,05/19/2020,36.6
"Delayed Medical Care, Last 4 Weeks",By Age,United States,30 - 39 years,May 14 - May 19,05/19/2020,40.4
"Delayed Medical Care, Last 4 Weeks",By Age,United States,40 - 49 years,May 14 - May 19,05/19/2020,41.9
"Delayed Medical Care, Last 4 Weeks",By Age,United States,50 - 59 years,May 14 - May 19,05/19/2020,44
"Delayed Medical Care, Last 4 Weeks",By Age,United States,60 - 69 years,May 14 - May 19,05/19/2020,42.7
"Delayed Medical Care, Last 4 Weeks",By Age,United States,70 - 79 years,May 14 - May 19,05/19/2020,37.3
"Delayed Medical Care, Last 4 Weeks",By Age,United States,80 years and above,May 14 - May 19,05/19/2020,38
"Delayed Medical Care, Last 4 Weeks",By State,Alabama,Alabama,May 14 - May 19,05/19/2020,38.9
"Delayed Medical Care, Last 4 Weeks",By State,Alaska,Alaska,May 14 - May 19,05/19/2020,46.7
"Delayed Medical Care, Last 4 Weeks",By State,Arizona,Arizona,May 14 - May 19,05/19/2020,38.8
"Delayed Medical Care, Last 4 Weeks",By State,Arkansas,Arkansas,May 14 - May 19,05/19/2020,36
"Delayed Medical Care, Last 4 Weeks",By State,California,California,May 14 - May 19,05/19/2020,41.4
